いよいよ たべられる！\xfffeならんだかいが あったぜ！\xf000븁\x0000
これを あじわいたくて はるばる\xfffeカラクサタウンから きちゃいました！\xf000븁\x0000
ここのー スィーツー！\xfffeチョーにんき なんだよー！！\xf000븁\x0000
さすが わだいの おみせ！\xfffeこんなに こんでるなんて すごい！\xf000븁\x0000
Yeah? You can buy\xfffeHiun City's famous sweets here.\xf000븁\x0000You lining up for it, too?
Well!\xfffeThere is quite a line, though!\xf000븁\x0000But it's definitely tasty,\xfffeso I say it's worth the wait!\xf000븁\x0000
そうかー こんでるしな\xf000븁\x0000でも ここだけの はなし\xfffeきょうは すいてるほう なんだよ\xf000븀\x0000いつもは もう うりきれ なんだ\xf000븁\x0000
うん？ ここでは\xfffeいま ヒウンシティで わだいの\xf000븀\x0000スィーツを かうことが できるんだよ\xf000븁\x0000でも きょうは もう\xfffeぼくで うりきれ みたいだ\xf000븁\x0000
うん？ ここでは\xfffeいま ヒウンシティで わだいの\xf000븀\x0000スィーツを かうことが できるんだよ\xf000븁\x0000でも きょうは もう\xfffeぼくで うりきれ みたいだ……\xf000븀\x0000また べつのひに きてごらんよ\xf000븁\x0000
ヒウンシティめいぶつ\xfffeヒウンアイスに なりまーす\xf000븁\x0000１こ １００円 です\xfffeおかいあげに なりますか？
ええっ ほんとうに かわないんですか？\xfffeそろそろ うりきれちゃいますよ？
ありがとう ございます！\xf000븁\x0000このキュートな いろと\xfffeナイーブな あじが いいんです！\xf000븁\x0000
ありがとう ございます！\xf000븁\x0000……あれ あれれ？\xfffeおかねが たりないみたいですね\xf000븀\x0000また きてくださいませ\xf000븁\x0000
ありがとう ございます！\xf000븁\x0000……あれ あれれ？\xfffeバッグが いっぱいみたいですね\xf000븀\x0000また きてくださいませ\xf000븁\x0000
せっかく ならんでくれたのに……\xfffeあのう また きてくださいね！\xf000븁\x0000
We're selling Hiun City's\xfffefamous Hiun Ice!\xf000븁\x0000But the owner figured\xfffewe should close shop for winter...\xf000븀\x0000Please come again when it gets warm!
Buy
Quit
Hiun Atelier
Hiun's Famous Hiun Ice\xfffeOn break for the freezing winter.
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
